"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 03 01:31:26 WAT 2022","Sat Dec 03 01:31:28 WAT 2022","2225","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","confirmBackToLoginPageTest","confirmBackToLoginPageTest",""
"passed","Sat Dec 03 01:31:17 WAT 2022","Sat Dec 03 01:31:19 WAT 2022","2029","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","signUpPageTest","signUpPageTest",""
"passed","Sat Dec 03 01:31:39 WAT 2022","Sat Dec 03 01:31:41 WAT 2022","2150","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","userPwordBlankTest","userPwordBlankTest",""
"passed","Sat Dec 03 01:31:30 WAT 2022","Sat Dec 03 01:31:33 WAT 2022","2235","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","passwordLessEqual1Test","passwordLessEqual1Test",""
"passed","Sat Dec 03 01:31:35 WAT 2022","Sat Dec 03 01:31:37 WAT 2022","1934","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","usernameBlankTest","usernameBlankTest",""
"passed","Sat Dec 03 01:31:22 WAT 2022","Sat Dec 03 01:31:25 WAT 2022","3339","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","clickArticlesTest","clickArticlesTest",""
"passed","Sat Dec 03 01:31:15 WAT 2022","Sat Dec 03 01:31:17 WAT 2022","2114","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","webpageTest","webpageTest",""
"passed","Sat Dec 03 01:31:37 WAT 2022","Sat Dec 03 01:31:39 WAT 2022","2012","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","passwordBlankTest","passwordBlankTest",""
"passed","Sat Dec 03 01:31:28 WAT 2022","Sat Dec 03 01:31:30 WAT 2022","2721","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","invalidEmailTest","invalidEmailTest",""
"passed","Sat Dec 03 01:31:19 WAT 2022","Sat Dec 03 01:31:22 WAT 2022","3093","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","positiveTest","positiveTest",""
"passed","Sat Dec 03 01:31:33 WAT 2022","Sat Dec 03 01:31:35 WAT 2022","2571","Default Suite","facebooktest","SeleniumWebpageSignupTest","SeleniumWebpageSignupTest","usernameLessThan3Test","usernameLessThan3Test",""
